Training_sample,Mean_kNN_distance
Train_104,1.0965686195483235
Train_105,1.0664120263057266
Train_106,3.1852956233592273
Train_107,1.2607045607413552
Train_108,1.2607045607413552
Train_109,1.7834140614806149
Train_110,1.516226335757665
Train_111,1.516226335757665
Train_112,1.6460239536754557
Train_113,1.6460239536754557
Train_114,1.78477724609778
Train_115,1.412119735216089
Train_116,1.412119735216089
Train_117,0.21023478888124422
Train_118,0.21023478888124422
Train_119,2.2504530940805147
Train_120,2.2504530940805147
Train_121,1.672808161410839
Train_122,1.715238388573654
Train_123,1.7933542878301068
Train_124,1.7727398610971181
Train_125,1.4240948490767724
Train_126,1.7884942984237107
Train_127,0.7647978673530315
Train_128,0.7647978673530315
Train_129,0.7647978673530315
Train_130,1.894874894113724
Train_131,1.8106130571686627
Train_132,2.2712578633528695
Train_133,2.291012544080984
Train_134,1.436774288760104
Train_135,1.4278425151492669
Train_136,1.4991589371785714
Train_137,1.500563375516919
Train_138,2.5562241206612315
Train_139,0.25569146925113523
Train_140,0.22705719568336608
Train_141,0.19413003984611912
Train_142,0.22459388303389144
Train_143,0.3385887246125336
Train_144,0.2729145686990151
Train_145,1.267126703539867
Train_146,1.4592386879786
Train_147,1.202743487194604
Train_148,1.2125331179215182
Train_149,1.9737798264435635
Train_150,0.31627513681525704
Train_151,2.2572325616723736
Train_152,1.670467092621261
Train_153,1.6726150719062383
Train_154,0.4801248662413853
Train_155,0.3780407183213258
Train_156,0.4010741079625427
Train_157,1.1003131227884195
Train_158,0.4266201451737765
Train_159,0.6863477973308221
Train_160,0.48186074566381015
Train_161,0.49211266380636587
Train_162,0.7918339847550688
Train_163,1.6066533836245909
Train_164,1.558886695283361
Train_165,0.26257745195878707
Train_166,0.49030745048477076
Train_167,0.41604326714822476
Train_168,0.3178504404495828
Train_169,0.27284093856815084
Train_170,0.7484477409888933
Train_171,0.2968877459669118
Train_172,1.9559231472141978
Train_173,0.353062007507145
Train_174,0.3524008158819991
Train_175,1.9978547535031523
Train_176,0.13451498343843515
Train_177,0.3405133107025862
Train_178,0.48581491033661467
Train_179,1.215637060515252
Train_180,1.1224426131879806
Train_181,1.2063442491016105
Train_182,0.18160876629867398
Train_183,0.10027630095843927
Train_184,0.11030248523834593
Train_185,0.6402241322742201
Train_186,0.0990660925693256
Train_187,0.4563745267427327
Train_188,0.1693968244363368
