NP_ID,mod_type,mod_charge,np_type,np_subtype,size_nm,zp_mv,zp_charge,zp_solvent,hd_solvent,incub_time,agitation,washing_steps
NP252,Alkylthiols,Negative,Inorganic,Metal,100.75,-9.600833333,Neutral,PBS,PBS,>60,N,1~3
NP253,Alkylthiols,Negative,Inorganic,Metal,66.32,-9.411666667,Neutral,PBS,PBS,>60,N,1~3
NP254,Amines,Positive,Inorganic,Metal,95.18,-9.311666667,Neutral,PBS,PBS,>60,N,1~3
NP255,Surfactants,Positive,Inorganic,Metal,59.7,-9.25875,Neutral,PBS,PBS,>60,N,1~3
NP256,Amino Acid,Negative,Inorganic,Metal,57.53,-9.111666667,Neutral,PBS,PBS,>60,N,1~3
NP257,Polymeric,Neutral,Inorganic,Metal,39.99,-8.9875,Neutral,PBS,PBS,>60,N,1~3
NP258,Carboxylic Acids,Negative,Inorganic,Metal,109.94,-8.966666667,Neutral,PBS,PBS,>60,N,1~3
NP259,Alkylthiols,Negative,Inorganic,Metal,48.09,-8.9525,Neutral,PBS,PBS,>60,N,1~3
NP260,Alkylthiols,Negative,Inorganic,Metal,58.99,-8.918333333,Neutral,PBS,PBS,>60,N,1~3
NP261,Alkylthiols,Negative,Inorganic,Metal,67.37,-8.81,Neutral,PBS,PBS,>60,N,1~3
NP262,Amines,Positive,Inorganic,Metal,90.06,-8.788333333,Neutral,PBS,PBS,>60,N,1~3
NP263,Alkylthiols,Negative,Inorganic,Metal,67.7,-8.738333333,Neutral,PBS,PBS,>60,N,1~3
NP264,Amino Acid,Negative,Inorganic,Metal,57.25,-8.731666667,Neutral,PBS,PBS,>60,N,1~3
NP265,Polymeric,Neutral,Inorganic,Metal,65.58,-8.713333333,Neutral,PBS,PBS,>60,N,1~3
NP266,Alkylthiols,Negative,Inorganic,Metal,102.9,-8.661666667,Neutral,PBS,PBS,>60,N,1~3
NP267,Alkylthiols,Negative,Inorganic,Metal,43.62,-8.646666667,Neutral,PBS,PBS,>60,N,1~3
NP268,Alkylthiols,Negative,Inorganic,Metal,41.94,-8.595,Neutral,PBS,PBS,>60,N,1~3
NP269,Carboxylic Acids,Negative,Inorganic,Metal,54.03,-8.501666667,Neutral,PBS,PBS,>60,N,1~3
NP270,Polymeric,Negative,Inorganic,Metal,51.52,-8.451666667,Neutral,PBS,PBS,>60,N,1~3
NP271,Alkylthiols,Positive,Inorganic,Metal,106.63,-8.354444444,Neutral,PBS,PBS,>60,N,1~3
NP272,Alkylthiols,Negative,Inorganic,Metal,45.52,-8.349722222,Neutral,PBS,PBS,>60,N,1~3
NP273,Amino Acid,Negative,Inorganic,Metal,37.75,-8.291666667,Neutral,PBS,PBS,>60,N,1~3
NP274,Alkylthiols,Negative,Inorganic,Metal,50.05,-8.138333333,Neutral,PBS,PBS,>60,N,1~3
NP275,Polymeric,Negative,Inorganic,Metal,106.12,-8.073333333,Neutral,PBS,PBS,>60,N,1~3
NP276,Alkylthiols,Positive,Inorganic,Metal,127.34,-8.065833333,Neutral,PBS,PBS,>60,N,1~3
NP277,Other,Negative,Inorganic,Metal,48.66,-8.028333333,Neutral,PBS,PBS,>60,N,1~3
NP278,Alkylthiols,Negative,Inorganic,Metal,43.77,-7.945833333,Neutral,PBS,PBS,>60,N,1~3
NP279,Amines,Positive,Inorganic,Metal,55.98,-7.945,Neutral,PBS,PBS,>60,N,1~3
NP280,Alkylthiols,Positive,Inorganic,Metal,122.28,-7.943333333,Neutral,PBS,PBS,>60,N,1~3
NP281,Amino Acid,Negative,Inorganic,Metal,58.53,-7.907666667,Neutral,PBS,PBS,>60,N,1~3
NP282,Alkylthiols,Negative,Inorganic,Metal,41.64,-7.806666667,Neutral,PBS,PBS,>60,N,1~3
NP283,Amines,Positive,Inorganic,Metal,54.89,-7.726666667,Neutral,PBS,PBS,>60,N,1~3
NP284,Alkylthiols,Negative,Inorganic,Metal,61.79,-7.573333333,Neutral,PBS,PBS,>60,N,1~3
NP285,Polymeric,Neutral,Inorganic,Metal,44.6,-7.48,Neutral,PBS,PBS,>60,N,1~3
NP286,Amino Acid,Negative,Inorganic,Metal,43.48,-7.368333333,Neutral,PBS,PBS,>60,N,1~3
NP287,Amino Acid,Negative,Inorganic,Metal,52.42,-7.198333333,Neutral,PBS,PBS,>60,N,1~3
NP288,Alkylthiols,Positive,Inorganic,Metal,71.85,-7.196666667,Neutral,PBS,PBS,>60,N,1~3
NP289,Polymeric,Positive,Inorganic,Metal,52.46,-7.043333333,Neutral,PBS,PBS,>60,N,1~3
NP290,Amino Acid,Negative,Inorganic,Metal,42.05,-6.778333333,Neutral,PBS,PBS,>60,N,1~3
NP291,Amino Acid,Negative,Inorganic,Metal,44.43,-6.728333333,Neutral,PBS,PBS,>60,N,1~3
NP292,Other,Negative,Inorganic,Metal,46.63,-6.633333333,Neutral,PBS,PBS,>60,N,1~3
NP293,Polymeric,Neutral,Inorganic,Metal,29.68,-6.628333333,Neutral,PBS,PBS,>60,N,1~3
NP294,Peptide,Negative,Inorganic,Metal,38.8,-6.536666667,Neutral,PBS,PBS,>60,N,1~3
NP295,Alkylthiols,Positive,Inorganic,Metal,48.4,-6.523333333,Neutral,PBS,PBS,>60,N,1~3
NP296,Alkylthiols,Negative,Inorganic,Metal,93.52,-6.52,Neutral,PBS,PBS,>60,N,1~3
NP297,Polymeric,Positive,Inorganic,Metal,68.07,-6.483333333,Neutral,PBS,PBS,>60,N,1~3
NP298,Alkylthiols,Positive,Inorganic,Metal,47.34,-6.373333333,Neutral,PBS,PBS,>60,N,1~3
NP299,Alkylthiols,Positive,Inorganic,Metal,59.93,-6.096666667,Neutral,PBS,PBS,>60,N,1~3
NP300,Carboxylic Acids,Negative,Inorganic,Metal,46.53,-6.091666667,Neutral,PBS,PBS,>60,N,1~3
NP301,Polymeric,Negative,Inorganic,Metal,53.12,-6.063333333,Neutral,PBS,PBS,>60,N,1~3
NP302,Polymeric,Neutral,Inorganic,Metal,52.02,-5.993333333,Neutral,PBS,PBS,>60,N,1~3
NP303,Polymeric,Neutral,Inorganic,Metal,38.69,-5.913333333,Neutral,PBS,PBS,>60,N,1~3
NP304,Alkylthiols,Positive,Inorganic,Metal,100.13,-5.705,Neutral,PBS,PBS,>60,N,1~3
NP305,Amino Acid,Negative,Inorganic,Metal,55.39,-5.676666667,Neutral,PBS,PBS,>60,N,1~3
NP306,Amino Acid,Negative,Inorganic,Metal,72.3,-5.643333333,Neutral,PBS,PBS,>60,N,1~3
NP307,Alkylthiols,Positive,Inorganic,Metal,61.43,-5.518333333,Neutral,PBS,PBS,>60,N,1~3
NP308,Alkylthiols,Positive,Inorganic,Metal,58.95,-5.455,Neutral,PBS,PBS,>60,N,1~3
NP309,Alkylthiols,Positive,Inorganic,Metal,53.41,-5.43,Neutral,PBS,PBS,>60,N,1~3
NP310,Alkylthiols,Negative,Inorganic,Metal,44.75,-5.351666667,Neutral,PBS,PBS,>60,N,1~3
NP311,Alkylthiols,Negative,Inorganic,Metal,41.88,-5.258333333,Neutral,PBS,PBS,>60,N,1~3
NP312,Polymeric,Negative,Inorganic,Metal,52.96,-5.238333333,Neutral,PBS,PBS,>60,N,1~3
NP313,Alkylthiols,Positive,Inorganic,Metal,55.07,-5.140833333,Neutral,PBS,PBS,>60,N,1~3
NP314,Polymeric,Neutral,Inorganic,Metal,51.18,-5.0435,Neutral,PBS,PBS,>60,N,1~3
NP315,Alkylthiols,Neutral,Inorganic,Metal,226.51,-5.007083333,Neutral,PBS,PBS,>60,N,1~3
NP316,Polymeric,Neutral,Inorganic,Metal,84.87,-4.4106,Neutral,PBS,PBS,>60,N,1~3
NP317,Alkylthiols,Negative,Inorganic,Metal,47,-3.916833333,Neutral,PBS,PBS,>60,N,1~3
NP318,Alkylthiols,Negative,Inorganic,Metal,64.65,-3.891333333,Neutral,PBS,PBS,>60,N,1~3
NP319,Polymeric,Neutral,Inorganic,Metal,47.07,-3.772566667,Neutral,PBS,PBS,>60,N,1~3
NP320,Alkylthiols,Negative,Inorganic,Metal,100.88,-3.580333333,Neutral,PBS,PBS,>60,N,1~3
NP321,Polymeric,Neutral,Inorganic,Metal,48.76,-2.935,Neutral,PBS,PBS,>60,N,1~3
NP322,Polymeric,Neutral,Inorganic,Metal,33.05,-2.753333333,Neutral,PBS,PBS,>60,N,1~3
NP323,Polymeric,Neutral,Inorganic,Metal,110.75,-2.232166667,Neutral,PBS,PBS,>60,N,1~3
NP324,Polymeric,Neutral,Inorganic,Metal,98.21,-2.015,Neutral,PBS,PBS,>60,N,1~3
NP325,Polymeric,Neutral,Inorganic,Metal,34.77,-1.730833333,Neutral,PBS,PBS,>60,N,1~3
NP326,Polymeric,Neutral,Inorganic,Metal,127.22,-0.61,Neutral,PBS,PBS,>60,N,1~3
NP327,Amines,Positive,Inorganic,Metal,38.4,-13.5,Negative,PBS,PBS,>60,N,1~3
NP328,Carboxylic Acids,Negative,Inorganic,Metal,38.4,-13.5,Negative,PBS,PBS,>60,N,1~3
NP329,Polymeric,Neutral,Inorganic,Metal,38.4,-13.5,Negative,PBS,PBS,>60,N,1~3
NP330,Alkylthiols,Positive,Inorganic,Metal,38.4,-13.5,Negative,PBS,PBS,>60,N,1~3
