,np_subtype,zp_solvent,hd_solvent,mod_type,mod_charge,np_type,zp_charge,incub_time,zp_mv,agitation,washing_steps,size_nm
P08603,0.058387928,0.07707373,0.069144025,0.06151008,0.040577445,0.050868828,0.046409197,0.033966593,0.0455748,0.039689504,0.023531731,0.019357134
P01593,0.068016976,0.04220981,0.043230943,0.039526466,0.029838383,0.04638087,0.08596077,0.016557256,0.018145107,0.023066789,0.015207455,0.015532747
P02775,0.09931933,0.10302552,0.0929002,0.09605764,0.03603157,0.052034147,0.025143813,0.038185593,0.027082568,0.019268893,0.022402393,0.019513635
P07737,0.108376205,0.042209014,0.044058297,0.04175459,0.02207499,0.027530294,0.086884096,0.04469388,0.019568266,0.018190747,0.0320387,0.035084795
P06312,0.079238914,0.055111993,0.053881384,0.067068525,0.0399209,0.05341984,0.019379232,0.037184913,0.02633435,0.026503166,0.03916607,0.029404331
P04070,0.10657491,0.0618489,0.03618083,0.06777409,0.047533102,0.023097146,0.024081152,0.034467906,0.077504724,0.042390116,0.011195318,0.025981909
P05090,0.10975473,0.05328981,0.049311206,0.040149163,0.044145152,0.02363957,0.018284764,0.01695734,0.022532571,0.07178749,0.031063408,0.019647883
O14791,0.12905468,0.097651705,0.07373159,0.07068564,0.024386782,0.03995594,0.05660405,0.06368981,0.027845418,0.045281183,0.026874717,0.02893285
P05155,0.099191844,0.08244333,0.053367853,0.0677659,0.037640825,0.04691557,0.071397625,0.0705035,0.016734453,0.020898215,0.025847267,0.018657308
P02765,0.08860522,0.074304,0.068613485,0.09327239,0.043853607,0.054209083,0.042079028,0.05077993,0.019045115,0.021964014,0.02202554,0.025173286
P24844,0.045863017,0.043187223,0.03401198,0.020207668,0.014942582,0.008710734,0.009327523,0.006951592,0.016059065,0.03752436,0.04737109,0.007894055
P35908,0.1515244,0.056818426,0.033767555,0.022872677,0.02751469,0.039964467,0.015466027,0.024799198,0.026968002,0.049761888,0.08662068,0.0146728875
P08697,0.112911224,0.06773998,0.04045047,0.050681133,0.068769395,0.059322864,0.05164825,0.058216006,0.035645448,0.026875585,0.019927405,0.02624016
Q06033,0.09877298,0.051015884,0.032364383,0.031211426,0.050734125,0.016540281,0.024379332,0.019030288,0.046361722,0.032055844,0.033529587,0.02164575
P05546,0.11332899,0.08576418,0.056415163,0.064575136,0.0988542,0.0775332,0.043878175,0.06202633,0.023651425,0.02990602,0.023225034,0.015589682
P02748,0.09713008,0.12980771,0.08839409,0.0362973,0.025881907,0.034316033,0.031610645,0.06292345,0.026321748,0.045170225,0.014343008,0.027709821
P22891,0.093779884,0.04829607,0.043022305,0.07039543,0.045816347,0.022803314,0.022588205,0.030238781,0.08083927,0.02211471,0.009676205,0.02588749
P04433,0.07982315,0.07276605,0.06433001,0.0665672,0.02647129,0.04502055,0.045486417,0.044412415,0.02608507,0.021497201,0.03891263,0.026127404
Q03591,0.09300365,0.056634855,0.047646802,0.039851937,0.10103834,0.04016701,0.026410228,0.04007208,0.022715278,0.021925658,0.01640966,0.043342885
