Test_sample,protein,protein_name,category,abundance_tertile,pearson_r,Observed,Predicted
39,P09211,Glutathione S-transferase P,Metabolic Enzymes,Low,-0.02257571741938591,0.0,9.202147452924692e-07
40,P09211,Glutathione S-transferase P,Metabolic Enzymes,Low,-0.02257571741938591,0.0,5.372455689212075e-07
41,P09211,Glutathione S-transferase P,Metabolic Enzymes,Low,-0.02257571741938591,0.0,7.174763823059038e-07
42,P09211,Glutathione S-transferase P,Metabolic Enzymes,Low,-0.02257571741938591,0.0,8.024778708204394e-07
43,P09211,Glutathione S-transferase P,Metabolic Enzymes,Low,-0.02257571741938591,0.0,7.824750355212018e-06
44,P09211,Glutathione S-transferase P,Metabolic Enzymes,Low,-0.02257571741938591,0.0,3.56195232598111e-05
45,P09211,Glutathione S-transferase P,Metabolic Enzymes,Low,-0.02257571741938591,0.0,5.400171630753903e-06
46,P09211,Glutathione S-transferase P,Metabolic Enzymes,Low,-0.02257571741938591,0.0,0.03587863966822624
47,P09211,Glutathione S-transferase P,Metabolic Enzymes,Low,-0.02257571741938591,0.0,8.328346012831389e-08
48,P09211,Glutathione S-transferase P,Metabolic Enzymes,Low,-0.02257571741938591,0.0,2.0374223197450192e-07
49,P09211,Glutathione S-transferase P,Metabolic Enzymes,Low,-0.02257571741938591,0.0,1.810984144867689e-07
50,P09211,Glutathione S-transferase P,Metabolic Enzymes,Low,-0.02257571741938591,0.0,5.799229256808758e-07
51,P09211,Glutathione S-transferase P,Metabolic Enzymes,Low,-0.02257571741938591,0.0,5.914708278709213e-09
52,P09211,Glutathione S-transferase P,Metabolic Enzymes,Low,-0.02257571741938591,0.0,1.006240868406394e-08
53,P09211,Glutathione S-transferase P,Metabolic Enzymes,Low,-0.02257571741938591,0.0,3.686395189106406e-08
54,P09211,Glutathione S-transferase P,Metabolic Enzymes,Low,-0.02257571741938591,0.0,4.748103208385146e-07
55,P09211,Glutathione S-transferase P,Metabolic Enzymes,Low,-0.02257571741938591,0.0,4.804060793617282e-08
56,P09211,Glutathione S-transferase P,Metabolic Enzymes,Low,-0.02257571741938591,0.0,1.4047967056285415e-07
57,P09211,Glutathione S-transferase P,Metabolic Enzymes,Low,-0.02257571741938591,0.0,2.0994754379444203e-08
58,P09211,Glutathione S-transferase P,Metabolic Enzymes,Low,-0.02257571741938591,0.0,1.2918209222334553e-06
59,P09211,Glutathione S-transferase P,Metabolic Enzymes,Low,-0.02257571741938591,0.0,3.2998720200794196e-08
