FPR,ROC_mean_TPR,ROC_CI95_lower,ROC_CI95_upper,Recall,PR_mean_precision,PR_CI95_lower,PR_CI95_upper
0.6900000000000001,0.9866788924956215,0.9742683256239986,0.9931865518664874,0.6900000000000001,0.7831052388992411,0.6930242640215394,0.857791087106219
0.6950000000000001,0.9868253690811635,0.9749714959985095,0.9933951250482477,0.6950000000000001,0.7828618252239186,0.6908454586543827,0.8550251194120952
0.7000000000000001,0.9871860567429857,0.9755573041836576,0.9936500741684533,0.7000000000000001,0.7805415501963925,0.6872380893869575,0.8526652804823431
0.705,0.9873839091557656,0.9760337340445459,0.9937540973249387,0.705,0.7792115505791646,0.6870741922359371,0.8523585073183124
0.71,0.9878982741018068,0.9768001575063704,0.9940199238657175,0.71,0.7758588939196028,0.6836977232249487,0.8503444476588089
0.715,0.9883877522301169,0.9776507070586699,0.994393141783595,0.715,0.7660440526760144,0.6758238540239023,0.8462806469558561
0.72,0.988771571113746,0.978105001564663,0.9944906195870692,0.72,0.7660096668205195,0.6756955806767673,0.8453228330637442
0.725,0.9889264358469995,0.978541407834655,0.9946737753741319,0.725,0.7656427394898787,0.6735778047229559,0.8434676193945572
0.73,0.989247883955232,0.9790403590068771,0.9949957685023777,0.73,0.7569971343290003,0.6708151795774627,0.8406617596344966
0.735,0.9898768866195199,0.9795199609676837,0.995166519900338,0.735,0.7528786215393197,0.6691761653735444,0.83829833201986
0.74,0.9900023833207399,0.9799674162117525,0.9953129729683549,0.74,0.7512776034755527,0.6662933336396661,0.8364376816070019
0.745,0.9906212302856033,0.9804792183274013,0.9955175435309815,0.745,0.7497834717919717,0.6650594075980568,0.8347312027858017
0.75,0.9908553879341278,0.9813512944716272,0.9959284679779724,0.75,0.7327132540484117,0.6505375523595602,0.8263199953378236
0.755,0.9909037902460343,0.9815404631105357,0.996050769516847,0.755,0.7335306365559596,0.6515891371036705,0.8268328399783786
0.76,0.9909521925579411,0.9819311059295814,0.996221420360856,0.76,0.7318265882898615,0.650088818181869,0.8253647498769608
0.765,0.9911987716435298,0.9823582615389206,0.9964123752930866,0.765,0.7281244492464564,0.6464721958259892,0.8233872187954369
0.77,0.9915235004386594,0.9825686175946345,0.9966249298728145,0.77,0.727291318052933,0.6444371444540958,0.8193036648141403
0.775,0.9917019387426712,0.9833137450234699,0.9968459875907508,0.775,0.7262286171442751,0.6422928002365638,0.8177781499254807
0.78,0.9917350799769078,0.9836268744069974,0.9970059179033063,0.78,0.7224987821199261,0.6377287735906058,0.8142823126914427
0.785,0.9918998516782562,0.9840729044049088,0.9971398364841988,0.785,0.7220670524059992,0.6366803566266472,0.8127969417486762
0.79,0.9925156336541914,0.9844602430295405,0.9973488904225172,0.79,0.717834058400765,0.6330497751666674,0.8095346778435646
0.795,0.9927442785391357,0.9850286654817433,0.9975334636376191,0.795,0.7176721030021818,0.6310638256164587,0.8078982934339456
0.8,0.9934263869798647,0.9854026594419414,0.9978308511911158,0.8,0.7002185201247725,0.6213915833241859,0.7988109415326347
0.805,0.9934314579737795,0.9856782762642495,0.9979144981219519,0.805,0.7004872545950466,0.6223577040342589,0.799254515465705
