Protein,Training_mean_abundance,Abundance_tertile,Pearson_r,Category
P01700,0.0007738450903985143,Low,-0.019998341393490892,Immunoglobulins
P05452,0.0008309157619404104,Low,0.6436528273451683,Other/Mixed
P61626,0.0006553255930056902,Low,0.03210294110390178,Metabolic Enzymes
P62805,0.0006609571430795791,Low,0.015132054301088205,Other/Mixed
P27918,0.0006768649962665704,Low,0.7674885218714942,Complement System
P01031,0.000686839547491473,Low,0.6029836967023727,Complement System
Q9Y490,0.0006124803605835557,Low,0.8607376037224901,Cytoskeletal
P61224,0.0005982481484883098,Low,0.6108492470523068,Other/Mixed
P13671,0.0006657371707112794,Low,0.48755665763430794,Complement System
P80748,0.0005977145191069035,Low,0.09154194879102014,Immunoglobulins
P09211,0.0005575518093117967,Low,-0.02257571539665049,Metabolic Enzymes
P01599,0.0006194900549477321,Low,-0.04690399783579522,Immunoglobulins
P07355,0.0005525348716457146,Low,-0.021599676176976015,Cytoskeletal
P01877,0.0005798580564790969,Low,0.26206240194107966,Immunoglobulins
P08514,0.0005663701555791181,Low,0.9322518498484422,Cytoskeletal
Q9BXR6,0.000589887449875883,Low,0.583786998794982,Complement System
P63104,0.0005545913142241233,Low,0.9428250903591983,Other/Mixed
P04217,0.0005665927723677457,Low,0.8307904649806103,Transport/Binding
P01019,0.000564614030248524,Low,0.5701792638064019,Other/Mixed
P36955,0.0005431693242473546,Low,0.6087094437661149,Transport/Binding
P35858,0.0005305100418955483,Low,0.5190039597453535,Transport/Binding
P05109,0.00047229557890850427,Low,0.15391398973398793,Other/Mixed
Q6Q788,0.0005467733637074836,Low,0.4774941535130213,Apolipoproteins
P35442,0.0004544363929838682,Low,0.0241723808753184,Transport/Binding
P02730,0.0004157897661565304,Low,0.8224329105818368,Cytoskeletal
P35579,0.0006609267627833501,Low,0.18978590661757022,Cytoskeletal
P60660,0.0004009369511762487,Low,0.8098268127657593,Cytoskeletal
P08709,0.00041450103744634936,Low,0.4123042601959588,Coagulation/Fibrinogen
P63261,0.0007532818138886578,Low,0.9506531623882271,Cytoskeletal
P23528,0.0004087778363576635,Low,0.8060612481339995,Cytoskeletal
Q96IY4,0.0004063003730654646,Low,0.09076481173163087,Protease/Inhibitors
P49747,0.00040328918532240687,Low,0.6107640441812987,Transport/Binding
P27105,0.0003626815198365399,Low,0.7822140344178896,Other/Mixed
P07357,0.0004246215678040674,Low,0.3805233119288482,Complement System
P01880,0.000268555298900784,Low,0.9964918916160103,Immunoglobulins
P06733,0.0003563571861876786,Low,0.027812059150262497,Metabolic Enzymes
P19652,0.0003626745657654544,Low,0.4871801003175671,Transport/Binding
P62937,0.00035236037847397213,Low,0.5503810477177016,Metabolic Enzymes
P02533,0.0003776244259305733,Low,0.4632972815856391,Cytoskeletal
P05106,0.0003274074643692413,Low,0.9646428675619918,Cytoskeletal
P18206,0.000322796793281169,Low,0.9410196983474901,Cytoskeletal
P08519,0.000353561202644856,Low,0.09189919503511149,Apolipoproteins
P26038,0.0003007410933011673,Low,0.4926542699365653,Cytoskeletal
P48740,0.0002941817596600845,Low,0.2766025257629044,Protease/Inhibitors
P51884,0.00025566811873489395,Low,0.9198888235126516,Other/Mixed
P10643,0.00028923446341489893,Low,0.5280099216581668,Complement System
